Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;07 Balears, Illes;Mujeres;1 de julio de 2025;627.883
Todas las edades;07 Balears, Illes;Mujeres;1 de abril de 2025;624.603
Todas las edades;08 Barcelona;Total;1 de octubre de 2025;6.001.957
Todas las edades;08 Barcelona;Total;1 de julio de 2025;5.982.699
Todas las edades;08 Barcelona;Total;1 de abril de 2025;5.969.870
Todas las edades;08 Barcelona;Hombres;1 de octubre de 2025;2.944.437
Todas las edades;08 Barcelona;Hombres;1 de julio de 2025;2.932.296
Todas las edades;08 Barcelona;Hombres;1 de abril de 2025;2.924.197
Todas las edades;08 Barcelona;Mujeres;1 de octubre de 2025;3.057.520
Todas las edades;08 Barcelona;Mujeres;1 de julio de 2025;3.050.403
Todas las edades;08 Barcelona;Mujeres;1 de abril de 2025;3.045.673
Todas las edades;48 Bizkaia;Total;1 de octubre de 2025;1.171.416
Todas las edades;48 Bizkaia;Total;1 de julio de 2025;1.169.252
Todas las edades;48 Bizkaia;Total;1 de abril de 2025;1.167.713
Todas las edades;48 Bizkaia;Hombres;1 de octubre de 2025;567.657
Todas las edades;48 Bizkaia;Hombres;1 de julio de 2025;566.470
Todas las edades;48 Bizkaia;Hombres;1 de abril de 2025;565.574
Todas las edades;48 Bizkaia;Mujeres;1 de octubre de 2025;603.759
Todas las edades;48 Bizkaia;Mujeres;1 de julio de 2025;602.782
Todas las edades;48 Bizkaia;Mujeres;1 de abril de 2025;602.139
Todas las edades;09 Burgos;Total;1 de octubre de 2025;365.523
Todas las edades;09 Burgos;Total;1 de julio de 2025;364.340
Todas las edades;09 Burgos;Total;1 de abril de 2025;363.139
Todas las edades;09 Burgos;Hombres;1 de octubre de 2025;183.182
Todas las edades;09 Burgos;Hombres;1 de julio de 2025;182.602
Todas las edades;09 Burgos;Hombres;1 de abril de 2025;181.871
Todas las edades;09 Burgos;Mujeres;1 de octubre de 2025;182.341
Todas las edades;09 Burgos;Mujeres;1 de julio de 2025;181.738
Todas las edades;09 Burgos;Mujeres;1 de abril de 2025;181.268
Todas las edades;10 Cáceres;Total;1 de octubre de 2025;388.693
Todas las edades;10 Cáceres;Total;1 de julio de 2025;388.314
Todas las edades;10 Cáceres;Total;1 de abril de 2025;388.199
Todas las edades;10 Cáceres;Hombres;1 de octubre de 2025;192.900
Todas las edades;10 Cáceres;Hombres;1 de julio de 2025;192.709
Todas las edades;10 Cáceres;Hombres;1 de abril de 2025;192.683
Todas las edades;10 Cáceres;Mujeres;1 de octubre de 2025;195.793
Todas las edades;10 Cáceres;Mujeres;1 de julio de 2025;195.605
Todas las edades;10 Cáceres;Mujeres;1 de abril de 2025;195.516
Todas las edades;11 Cádiz;Total;1 de octubre de 2025;1.266.110
Todas las edades;11 Cádiz;Total;1 de julio de 2025;1.263.821
Todas las edades;11 Cádiz;Total;1 de abril de 2025;1.262.817
Todas las edades;11 Cádiz;Hombres;1 de octubre de 2025;624.022
Todas las edades;11 Cádiz;Hombres;1 de julio de 2025;622.543
Todas las edades;11 Cádiz;Hombres;1 de abril de 2025;621.947
Todas las edades;11 Cádiz;Mujeres;1 de octubre de 2025;642.088
Todas las edades;11 Cádiz;Mujeres;1 de julio de 2025;641.278
Todas las edades;11 Cádiz;Mujeres;1 de abril de 2025;640.870
Todas las edades;39 Cantabria;Total;1 de octubre de 2025;596.189
Todas las edades;39 Cantabria;Total;1 de julio de 2025;594.576
Todas las edades;39 Cantabria;Total;1 de abril de 2025;593.801
Todas las edades;39 Cantabria;Hombres;1 de octubre de 2025;289.055
Todas las edades;39 Cantabria;Hombres;1 de julio de 2025;288.161
Todas las edades;39 Cantabria;Hombres;1 de abril de 2025;287.782
Todas las edades;39 Cantabria;Mujeres;1 de octubre de 2025;307.134
Todas las edades;39 Cantabria;Mujeres;1 de julio de 2025;306.415
Todas las edades;39 Cantabria;Mujeres;1 de abril de 2025;306.019
Todas las edades;12 Castellón/Castelló;Total;1 de octubre de 2025;636.282
Todas las edades;12 Castellón/Castelló;Total;1 de julio de 2025;632.802
Todas las edades;12 Castellón/Castelló;Total;1 de abril de 2025;629.570
Todas las edades;12 Castellón/Castelló;Hombres;1 de octubre de 2025;316.899
Todas las edades;12 Castellón/Castelló;Hombres;1 de julio de 2025;315.042
Todas las edades;12 Castellón/Castelló;Hombres;1 de abril de 2025;313.320
Todas las edades;12 Castellón/Castelló;Mujeres;1 de octubre de 2025;319.383
Todas las edades;12 Castellón/Castelló;Mujeres;1 de julio de 2025;317.760
Todas las edades;12 Castellón/Castelló;Mujeres;1 de abril de 2025;316.250
Todas las edades;13 Ciudad Real;Total;1 de octubre de 2025;496.571
Todas las edades;13 Ciudad Real;Total;1 de julio de 2025;495.177
Todas las edades;13 Ciudad Real;Total;1 de abril de 2025;494.509
Todas las edades;13 Ciudad Real;Hombres;1 de octubre de 2025;246.922
Todas las edades;13 Ciudad Real;Hombres;1 de julio de 2025;246.132
Todas las edades;13 Ciudad Real;Hombres;1 de abril de 2025;245.633
Todas las edades;13 Ciudad Real;Mujeres;1 de octubre de 2025;249.649
Todas las edades;13 Ciudad Real;Mujeres;1 de julio de 2025;249.045
Todas las edades;13 Ciudad Real;Mujeres;1 de abril de 2025;248.876
Todas las edades;14 Córdoba;Total;1 de octubre de 2025;770.879
Todas las edades;14 Córdoba;Total;1 de julio de 2025;771.913
Todas las edades;14 Córdoba;Total;1 de abril de 2025;772.929
Todas las edades;14 Córdoba;Hombres;1 de octubre de 2025;376.997
Todas las edades;14 Córdoba;Hombres;1 de julio de 2025;377.351
Todas las edades;14 Córdoba;Hombres;1 de abril de 2025;377.810
Todas las edades;14 Córdoba;Mujeres;1 de octubre de 2025;393.882
Todas las edades;14 Córdoba;Mujeres;1 de julio de 2025;394.562
Todas las edades;14 Córdoba;Mujeres;1 de abril de 2025;395.119
Todas las edades;15 Coruña, A;Total;1 de octubre de 2025;1.142.041
Todas las edades;15 Coruña, A;Total;1 de julio de 2025;1.138.843
Todas las edades;15 Coruña, A;Total;1 de abril de 2025;1.137.542
Todas las edades;15 Coruña, A;Hombres;1 de octubre de 2025;548.242
Todas las edades;15 Coruña, A;Hombres;1 de julio de 2025;546.662
Todas las edades;15 Coruña, A;Hombres;1 de abril de 2025;545.920
Todas las edades;15 Coruña, A;Mujeres;1 de octubre de 2025;593.799
Todas las edades;15 Coruña, A;Mujeres;1 de julio de 2025;592.181
Todas las edades;15 Coruña, A;Mujeres;1 de abril de 2025;591.622
Todas las edades;16 Cuenca;Total;1 de octubre de 2025;200.276
Todas las edades;16 Cuenca;Total;1 de julio de 2025;200.185
Todas las edades;16 Cuenca;Total;1 de abril de 2025;199.833
Todas las edades;16 Cuenca;Hombres;1 de octubre de 2025;101.301
Todas las edades;16 Cuenca;Hombres;1 de julio de 2025;101.253
Todas las edades;16 Cuenca;Hombres;1 de abril de 2025;101.016
Todas las edades;16 Cuenca;Mujeres;1 de octubre de 2025;98.975
Todas las edades;16 Cuenca;Mujeres;1 de julio de 2025;98.932
Todas las edades;16 Cuenca;Mujeres;1 de abril de 2025;98.817
Todas las edades;20 Gipuzkoa;Total;1 de octubre de 2025;733.700
Todas las edades;20 Gipuzkoa;Total;1 de julio de 2025;732.864
Todas las edades;20 Gipuzkoa;Total;1 de abril de 2025;732.231
Todas las edades;20 Gipuzkoa;Hombres;1 de octubre de 2025;358.959
Todas las edades;20 Gipuzkoa;Hombres;1 de julio de 2025;358.406
Todas las edades;20 Gipuzkoa;Hombres;1 de abril de 2025;357.950
Todas las edades;20 Gipuzkoa;Mujeres;1 de octubre de 2025;374.741
Todas las edades;20 Gipuzkoa;Mujeres;1 de julio de 2025;374.458
Todas las edades;20 Gipuzkoa;Mujeres;1 de abril de 2025;374.281
Todas las edades;17 Girona;Total;1 de octubre de 2025;837.001
Todas las edades;17 Girona;Total;1 de julio de 2025;834.977
Todas las edades;17 Girona;Total;1 de abril de 2025;832.108
Todas las edades;17 Girona;Hombres;1 de octubre de 2025;420.409
Todas las edades;17 Girona;Hombres;1 de julio de 2025;419.355
Todas las edades;17 Girona;Hombres;1 de abril de 2025;417.807
Todas las edades;17 Girona;Mujeres;1 de octubre de 2025;416.592
Todas las edades;17 Girona;Mujeres;1 de julio de 2025;415.622
Todas las edades;17 Girona;Mujeres;1 de abril de 2025;414.301
Todas las edades;18 Granada;Total;1 de octubre de 2025;950.270
Todas las edades;18 Granada;Total;1 de julio de 2025;948.456
Todas las edades;18 Granada;Total;1 de abril de 2025;946.013
Todas las edades;18 Granada;Hombres;1 de octubre de 2025;467.716
Todas las edades;18 Granada;Hombres;1 de julio de 2025;466.758
Todas las edades;18 Granada;Hombres;1 de abril de 2025;465.501
Todas las edades;18 Granada;Mujeres;1 de octubre de 2025;482.554
Todas las edades;18 Granada;Mujeres;1 de julio de 2025;481.698
Todas las edades;18 Granada;Mujeres;1 de abril de 2025;480.512
Todas las edades;19 Guadalajara;Total;1 de octubre de 2025;289.431
Todas las edades;19 Guadalajara;Total;1 de julio de 2025;287.877
Todas las edades;19 Guadalajara;Total;1 de abril de 2025;286.696
Todas las edades;19 Guadalajara;Hombres;1 de octubre de 2025;147.183
Todas las edades;19 Guadalajara;Hombres;1 de julio de 2025;146.366
Todas las edades;19 Guadalajara;Hombres;1 de abril de 2025;145.727
Todas las edades;19 Guadalajara;Mujeres;1 de octubre de 2025;142.248
Todas las edades;19 Guadalajara;Mujeres;1 de julio de 2025;141.511
Todas las edades;19 Guadalajara;Mujeres;1 de abril de 2025;140.969
Todas las edades;21 Huelva;Total;1 de octubre de 2025;540.347
Todas las edades;21 Huelva;Total;1 de julio de 2025;539.955
Todas las edades;21 Huelva;Total;1 de abril de 2025;538.432
Todas las edades;21 Huelva;Hombres;1 de octubre de 2025;268.252
Todas las edades;21 Huelva;Hombres;1 de julio de 2025;267.995
Todas las edades;21 Huelva;Hombres;1 de abril de 2025;267.117
Todas las edades;21 Huelva;Mujeres;1 de octubre de 2025;272.095
Todas las edades;21 Huelva;Mujeres;1 de julio de 2025;271.960
Todas las edades;21 Huelva;Mujeres;1 de abril de 2025;271.315
Todas las edades;22 Huesca;Total;1 de octubre de 2025;232.077
Todas las edades;22 Huesca;Total;1 de julio de 2025;231.414
Todas las edades;22 Huesca;Total;1 de abril de 2025;230.592
Todas las edades;22 Huesca;Hombres;1 de octubre de 2025;118.488
Todas las edades;22 Huesca;Hombres;1 de julio de 2025;118.073
Todas las edades;22 Huesca;Hombres;1 de abril de 2025;117.512
Todas las edades;22 Huesca;Mujeres;1 de octubre de 2025;113.589
Todas las edades;22 Huesca;Mujeres;1 de julio de 2025;113.341
Todas las edades;22 Huesca;Mujeres;1 de abril de 2025;113.080
Todas las edades;23 Jaén;Total;1 de octubre de 2025;618.653
Todas las edades;23 Jaén;Total;1 de julio de 2025;617.918
Todas las edades;23 Jaén;Total;1 de abril de 2025;617.742
Todas las edades;23 Jaén;Hombres;1 de octubre de 2025;306.599
Todas las edades;23 Jaén;Hombres;1 de julio de 2025;306.193
Todas las edades;23 Jaén;Hombres;1 de abril de 2025;306.069
Todas las edades;23 Jaén;Mujeres;1 de octubre de 2025;312.054
Todas las edades;23 Jaén;Mujeres;1 de julio de 2025;311.725
Todas las edades;23 Jaén;Mujeres;1 de abril de 2025;311.673
Todas las edades;24 León;Total;1 de octubre de 2025;448.027
Todas las edades;24 León;Total;1 de julio de 2025;448.006
Todas las edades;24 León;Total;1 de abril de 2025;447.906
Todas las edades;24 León;Hombres;1 de octubre de 2025;218.372
Todas las edades;24 León;Hombres;1 de julio de 2025;218.290
